MonitoringID,ProgressTime,PointerPosition,RedMarkerPosition,BlueMarkerPosition,YellowMarkerPosition,BressHoldStatus,CalEncoderPosition,BeamStatus,MaxInspirationLine,TerminalExpirationLine,GatingPosition,GatingLevel,GatingPulse,CalNeedlePosition,AbnormalStatus
1807,26,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.0533447265625,0.519999980926514,0,0,0,0
1807,33,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.0533447265625,0.519999980926514,0,0,0,0
1807,49,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.0533447265625,0.519999980926514,0,0,0,0
1807,81,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.0533447265625,0.519999980926514,0,0,0,0
1807,113,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.0533447265625,0.519999980926514,0,0,0,0
1807,146,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.0533447265625,0.519999980926514,0,0,0,0
1807,178,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.2132568359375,0.519999980926514,0,0,0,0
1807,210,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.2132568359375,0.519999980926514,0,0,0,0
1807,242,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.2132568359375,0.519999980926514,0,0,0,0
1807,272,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.2132568359375,0.519999980926514,0,0,0,0
1807,289,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.3199462890625,0.519999980926514,0,0,0,0
1807,321,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.373291015625,0.519999980926514,0,0,0,0
1807,353,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.373291015625,0.519999980926514,0,0,0,0
1807,385,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.39990234375,0.519999980926514,0,0,0,0
1807,417,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.39990234375,0.519999980926514,0,0,0,0
1807,449,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.39990234375,0.519999980926514,0,0,0,0
1807,481,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.61328125,0.519999980926514,1,0,0,0
1807,513,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.586669921875,0.519999980926514,1,0,0,0
1807,529,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.61328125,0.519999980926514,1,0,0,0
1807,561,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.6400146484375,0.519999980926514,1,0,0,0
1807,593,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.6932373046875,0.519999980926514,1,0,0,0
1807,625,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.719970703125,0.519999980926514,1,0,0,0
1807,657,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.74658203125,0.519999980926514,1,0,0,0
1807,689,0,0,0.519999980926514,1.5900000333786,0,0,0,1.5900000333786,0,0.7999267578125,0.519999980926514,1,0,0,0
